Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PM6L8BO_n,PM6L8BO_k,PDINN_n,PDINN_k,Air_n,Air_k
405,1.51443,0,1.97598,0.00143,1.542620313,0.002113438,1.591057255,0.299797101,1.75704007,0.061252477,1,0
406,1.51438,0,1.97448,0.00142,1.542385938,0.002147813,1.590213512,0.300759505,1.757641153,0.059295335,1,0
407,1.51433,0,1.97308,0.00141,1.542151563,0.002182188,1.589354255,0.301753266,1.757946825,0.057353436,1,0
408,1.51428,0,1.97168,0.0014,1.541917188,0.002216563,1.588479139,0.302779081,1.757950515,0.055427117,1,0
409,1.51423,0,1.97025,0.00139,1.541682813,0.002243294,1.587604023,0.303804896,1.757954205,0.053500799,1,0
410,1.51419,0,1.96885,0.00138,1.541448438,0.002269176,1.586728906,0.304830711,1.757957895,0.05157448,1,0
411,1.51414,0,1.96748,0.00138,1.541214063,0.002295059,1.58585379,0.305856526,1.757961585,0.049648162,1,0
412,1.51409,0,1.96609,0.00137,1.540979688,0.002320941,1.584978674,0.306882341,1.757965275,0.047721843,1,0
413,1.51404,0,1.96471,0.00137,1.540745313,0.002346824,1.584103558,0.307908156,1.757968965,0.045795525,1,0
414,1.51399,0,1.96334,0.00136,1.540510938,0.002372706,1.583204205,0.308985976,1.757625233,0.04404395,1,0
415,1.51394,0,1.96202,0.00136,1.540276378,0.002398588,1.5822954,0.31008408,1.75714599,0.042360533,1,0
416,1.5139,0,1.96071,0.00136,1.540040157,0.002424471,1.581386595,0.311182184,1.756666747,0.040677116,1,0
417,1.51385,0,1.95939,0.00136,1.539803937,0.002450353,1.580477789,0.312280289,1.756187504,0.038993698,1,0
418,1.5138,0,1.95808,0.00136,1.539567717,0.002476235,1.579568984,0.313378393,1.755708262,0.037310281,1,0
419,1.51375,0,1.95676,0.00136,1.539331496,0.002502118,1.578660178,0.314476497,1.755229019,0.035626864,1,0
420,1.5137,0,1.95544,0.00136,1.539095276,0.002528,1.577751373,0.315574601,1.754749776,0.033943447,1,0
421,1.51365,0,1.95416,0.00136,1.538859055,0.002553882,1.576816975,0.316731856,1.754052073,0.032509582,1,0
422,1.51361,0,1.95291,0.00137,1.538622835,0.002579765,1.575872355,0.317912734,1.753267121,0.031175384,1,0
423,1.51356,0,1.95161,0.00137,1.538386614,0.002605647,1.574927735,0.319093613,1.752482168,0.029841186,1,0
424,1.51351,0,1.95031,0.00137,1.538150394,0.002631529,1.573983114,0.320274491,1.751697216,0.028506988,1,0
425,1.51347,0,1.94905,0.00138,1.537914173,0.002657412,1.573038494,0.32145537,1.750912264,0.027172789,1,0
426,1.51342,0,1.9478,0.00138,1.537677953,0.002691452,1.572093874,0.322636248,1.750127311,0.025838591,1,0
427,1.51338,0,1.94655,0.00139,1.537441732,0.002726398,1.571149254,0.323817127,1.749342359,0.024504393,1,0
428,1.51333,0,1.9453,0.00139,1.537219328,0.002761344,1.570186792,0.32504269,1.748492138,0.023337601,1,0
429,1.51328,0,1.94408,0.0014,1.537017647,0.00279629,1.56920407,0.326318988,1.747567812,0.022360879,1,0
430,1.51324,0,1.94288,0.00141,1.536815966,0.002831237,1.568221349,0.327595286,1.746643486,0.021384157,1,0
431,1.51319,0,1.94164,0.00141,1.536614286,0.002866183,1.567238627,0.328871584,1.74571916,0.020407436,1,0
432,1.51315,0,1.94041,0.00142,1.536412605,0.002901129,1.566255906,0.330147882,1.744794834,0.019430714,1,0
433,1.5131,0,1.93922,0.00143,1.536210924,0.002936075,1.565273185,0.33142418,1.743870508,0.018453992,1,0
434,1.51306,0,1.93803,0.00143,1.536009244,0.002971022,1.564290463,0.332700478,1.742946182,0.01747727,1,0
435,1.51301,0,1.93684,0.00144,1.535807563,0.003005968,1.563307742,0.333976776,1.742021856,0.016500548,1,0
436,1.51297,0,1.93565,0.00145,1.535605882,0.003040914,1.562286301,0.335360228,1.741078288,0.015822239,1,0
437,1.51292,0,1.93446,0.00146,1.535404202,0.00307586,1.561263568,0.336747258,1.740134078,0.01515389,1,0
438,1.51287,0,1.93327,0.00147,1.535202521,0.003110806,1.560240835,0.338134287,1.739189868,0.014485542,1,0
439,1.51283,0,1.93214,0.00147,1.53500084,0.003145753,1.559218102,0.339521317,1.738245658,0.013817193,1,0
440,1.51278,0,1.93099,0.00148,1.534797638,0.003180699,1.558195369,0.340908346,1.737301449,0.013148844,1,0
