Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PDINN_n,PDINN_k,Air_n,Air_k,PM6L8BOOFIB_n,PM6L8BOOFIB_k
455,1.51216,0,1.91401,0.00164,1.531758824,0.00369051,1.724079273,0.006776627,1,0,1.382729629,0.473935436
456,1.51212,0,1.91291,0.00165,1.531565546,0.003724184,1.723265772,0.006523187,1,0,1.381653944,0.475448413
457,1.51208,0,1.91184,0.00167,1.531372269,0.003757857,1.722452271,0.006269746,1,0,1.38057826,0.476961391
458,1.51204,0,1.91078,0.00168,1.531178992,0.003791531,1.72163877,0.006016306,1,0,1.379502575,0.478474368
459,1.512,0,1.9097,0.00169,1.530985714,0.003825204,1.72082527,0.005762866,1,0,1.37842689,0.479987345
460,1.51195,0,1.90857,0.0017,1.530792437,0.003858878,1.720083665,0.005607016,1,0,1.377299077,0.48162821
461,1.51191,0,1.90748,0.00171,1.53059916,0.003892551,1.719360113,0.005475671,1,0,1.376158176,0.483301186
462,1.51187,0,1.90642,0.00173,1.530405882,0.003926224,1.718636561,0.005344326,1,0,1.375017274,0.484974162
463,1.51183,0,1.90536,0.00174,1.530212605,0.003959898,1.717913009,0.005212981,1,0,1.373876372,0.486647138
464,1.51179,0,1.90429,0.00175,1.530019328,0.00398878,1.717189456,0.005081636,1,0,1.372735471,0.488320114
465,1.51175,0,1.90323,0.00177,1.529818487,0.00401561,1.716465904,0.004950291,1,0,1.371594569,0.489993091
466,1.51171,0,1.90216,0.00178,1.529616807,0.004042439,1.715742352,0.004818945,1,0,1.370453667,0.491666067
467,1.51168,0,1.9011,0.00179,1.529415126,0.004069268,1.7150188,0.0046876,1,0,1.369312766,0.493339043
468,1.51164,0,1.90004,0.0018,1.529213445,0.004096098,1.714306856,0.004567393,1,0,1.368162377,0.49503865
469,1.51161,0,1.89897,0.00182,1.529011765,0.004122927,1.713669228,0.00451849,1,0,1.366951249,0.496908746
470,1.51157,0,1.8979,0.00183,1.528810084,0.004149756,1.713031599,0.004469587,1,0,1.365740121,0.498778842
471,1.51154,0,1.8969,0.00184,1.528608403,0.004176585,1.71239397,0.004420684,1,0,1.364528994,0.500648937
472,1.51151,0,1.89587,0.00186,1.528406723,0.004203415,1.711756342,0.004371781,1,0,1.363317866,0.502519033
473,1.51147,0,1.89481,0.00187,1.528205042,0.004230244,1.711118713,0.004322878,1,0,1.362106738,0.504389129
